time,S1,S2,S3,S4,k1,k2,k3,k4,k5,kavo,comp,comp2
4.119402985,-53.49553526,-22.03933298,4,2,1.1,8.12,0.475,7.984740477,0.475,1.000023545,9.119402985,7.984740477
4.129353234,-53.74993978,-22.11292543,4,2,1.1,8.12,0.475,8.025779065,0.475,1.000023545,9.129353234,8.025779065
4.139303483,-54.00554896,-22.18705616,4,2,1.1,8.12,0.475,8.066916661,0.475,1.000023545,9.139303483,8.066916661
4.149253731,-54.26236143,-22.26172236,4,2,1.1,8.12,0.475,8.108153264,0.475,1.000023545,9.149253731,8.108153264
4.15920398,-54.52037582,-22.33692122,4,2,1.1,8.12,0.475,8.149488874,0.475,1.000023545,9.15920398,8.149488874
4.169154229,-54.77959084,-22.41265002,4,2,1.1,8.12,0.475,8.190923492,0.475,1.000023545,9.169154229,8.190923492
4.179104478,-55.04000519,-22.4889061,4,2,1.1,8.12,0.475,8.232457118,0.475,1.000023545,9.179104478,8.232457118
4.189054726,-55.30161762,-22.56568682,4,2,1.1,8.12,0.475,8.27408975,0.475,1.000023545,9.189054726,8.27408975
4.199004975,-55.56442692,-22.64298963,4,2,1.1,8.12,0.475,8.315821391,0.475,1.000023545,9.199004975,8.315821391
4.208955224,-55.82843191,-22.720812,4,2,1.1,8.12,0.475,8.357652038,0.475,1.000023545,9.208955224,8.357652038
4.218905473,-56.09363143,-22.79915148,4,2,1.1,8.12,0.475,8.399581694,0.475,1.000023545,9.218905473,8.399581694
4.228855721,-56.36002436,-22.87800563,4,2,1.1,8.12,0.475,8.441610356,0.475,1.000023545,9.228855721,8.441610356
4.23880597,-56.62760962,-22.95737209,4,2,1.1,8.12,0.475,8.483738026,0.475,1.000023545,9.23880597,8.483738026
4.248756219,-56.89638614,-23.03724853,4,2,1.1,8.12,0.475,8.525964704,0.475,1.000023545,9.248756219,8.525964704
4.258706468,-57.16635288,-23.11763268,4,2,1.1,8.12,0.475,8.568290389,0.475,1.000023545,9.258706468,8.568290389
4.268656716,-57.43750885,-23.19852229,4,2,1.1,8.12,0.475,8.610715081,0.475,1.000023545,9.268656716,8.610715081
4.278606965,-57.70985307,-23.27991517,4,2,1.1,8.12,0.475,8.653238781,0.475,1.000023545,9.278606965,8.653238781
4.288557214,-57.9833846,-23.36180918,4,2,1.1,8.12,0.475,8.695861489,0.475,1.000023545,9.288557214,8.695861489
4.298507463,-58.25810251,-23.4442022,4,2,1.1,8.12,0.475,8.738583204,0.475,1.000023545,9.298507463,8.738583204
4.308457711,-58.53400591,-23.52709216,4,2,1.1,8.12,0.475,8.781403926,0.475,1.000023545,9.308457711,8.781403926
4.31840796,-58.81109394,-23.61047704,4,2,1.1,8.12,0.475,8.824323656,0.475,1.000023545,9.31840796,8.824323656
4.328358209,-59.08936576,-23.69435483,4,2,1.1,8.12,0.475,8.867342393,0.475,1.000023545,9.328358209,8.867342393
4.338308458,-59.36882054,-23.77872359,4,2,1.1,8.12,0.475,8.910460137,0.475,1.000023545,9.338308458,8.910460137
4.348258706,-59.6494575,-23.8635814,4,2,1.1,8.12,0.475,8.953676889,0.475,1.000023545,9.348258706,8.953676889
4.358208955,-59.93127587,-23.94892637,4,2,1.1,8.12,0.475,8.996992649,0.475,1.000023545,9.358208955,8.996992649
4.368159204,-60.21427491,-24.03475666,4,2,1.1,8.12,0.475,9.040407416,0.475,1.000023545,9.368159204,9.040407416
4.378109453,-60.4984539,-24.12107046,4,2,1.1,8.12,0.475,9.08392119,0.475,1.000023545,9.378109453,9.08392119
4.388059701,-60.78381214,-24.20786598,4,2,1.1,8.12,0.475,9.127533972,0.475,1.000023545,9.388059701,9.127533972
4.39800995,-61.07034896,-24.29514148,4,2,1.1,8.12,0.475,9.171245761,0.475,1.000023545,9.39800995,9.171245761
4.407960199,-61.35806372,-24.38289525,4,2,1.1,8.12,0.475,9.215056558,0.475,1.000023545,9.407960199,9.215056558
4.417910448,-61.64695578,-24.4711256,4,2,1.1,8.12,0.475,9.258966362,0.475,1.000023545,9.417910448,9.258966362
4.427860697,-61.93702453,-24.55983088,4,2,1.1,8.12,0.475,9.302975174,0.475,1.000023545,9.427860697,9.302975174
4.437810945,-62.22826939,-24.64900948,4,2,1.1,8.12,0.475,9.347082993,0.475,1.000023545,9.437810945,9.347082993
4.447761194,-62.52068979,-24.73865978,4,2,1.1,8.12,0.475,9.39128982,0.475,1.000023545,9.447761194,9.39128982
4.457711443,-62.81428519,-24.82878024,4,2,1.1,8.12,0.475,9.435595654,0.475,1.000023545,9.457711443,9.435595654
4.467661692,-63.10905507,-24.91936932,4,2,1.1,8.12,0.475,9.480000495,0.475,1.000023545,9.467661692,9.480000495
4.47761194,-63.40499891,-25.01042551,4,2,1.1,8.12,0.475,9.524504344,0.475,1.000023545,9.47761194,9.524504344
4.487562189,-63.70211624,-25.10194732,4,2,1.1,8.12,0.475,9.569107201,0.475,1.000023545,9.487562189,9.569107201
4.497512438,-64.00040659,-25.19393331,4,2,1.1,8.12,0.475,9.613809064,0.475,1.000023545,9.497512438,9.613809064
4.507462687,-64.2998695,-25.28638204,4,2,1.1,8.12,0.475,9.658609936,0.475,1.000023545,9.507462687,9.658609936
4.517412935,-64.60050456,-25.37929212,4,2,1.1,8.12,0.475,9.703509814,0.475,1.000023545,9.517412935,9.703509814
4.527363184,-64.90231135,-25.47266215,4,2,1.1,8.12,0.475,9.7485087,0.475,1.000023545,9.527363184,9.7485087
4.537313433,-65.20528948,-25.5664908,4,2,1.1,8.12,0.475,9.793606594,0.475,1.000023545,9.537313433,9.793606594
4.547263682,-65.50943857,-25.66077673,4,2,1.1,8.12,0.475,9.838803495,0.475,1.000023545,9.547263682,9.838803495
4.55721393,-65.81475827,-25.75551862,4,2,1.1,8.12,0.475,9.884099404,0.475,1.000023545,9.55721393,9.884099404
4.567164179,-66.12124823,-25.85071521,4,2,1.1,8.12,0.475,9.92949432,0.475,1.000023545,9.567164179,9.92949432
4.577114428,-66.42890813,-25.94636522,4,2,1.1,8.12,0.475,9.974988243,0.475,1.000023545,9.577114428,9.974988243
4.587064677,-66.73773766,-26.04246741,4,2,1.1,8.12,0.475,10.02058117,0.475,1.000023545,9.587064677,10.02058117
4.597014925,-67.04773653,-26.13902058,4,2,1.1,8.12,0.475,10.06627311,0.475,1.000023545,9.597014925,10.06627311
4.606965174,-67.35890447,-26.23602351,4,2,1.1,8.12,0.475,10.11206406,0.475,1.000023545,9.606965174,10.11206406
4.616915423,-67.67124122,-26.33347504,4,2,1.1,8.12,0.475,10.15795401,0.475,1.000023545,9.616915423,10.15795401
4.626865672,-67.98474652,-26.431374,4,2,1.1,8.12,0.475,10.20394297,0.475,1.000023545,9.626865672,10.20394297
4.63681592,-68.29942015,-26.52971927,4,2,1.1,8.12,0.475,10.25003094,0.475,1.000023545,9.63681592,10.25003094
4.646766169,-68.61526191,-26.62850972,4,2,1.1,8.12,0.475,10.29621792,0.475,1.000023545,9.646766169,10.29621792
4.656716418,-68.93227157,-26.72774425,4,2,1.1,8.12,0.475,10.3425039,0.475,1.000023545,9.656716418,10.3425039
4.666666667,-69.25044898,-26.8274218,4,2,1.1,8.12,0.475,10.38888889,0.475,1.000023545,9.666666667,10.38888889
4.676616915,-69.56979394,-26.92754128,4,2,1.1,8.12,0.475,10.43537289,0.475,1.000023545,9.676616915,10.43537289
4.686567164,-69.8903063,-27.02810167,4,2,1.1,8.12,0.475,10.48195589,0.475,1.000023545,9.686567164,10.48195589
4.696517413,-70.21198593,-27.12910194,4,2,1.1,8.12,0.475,10.52863791,0.475,1.000023545,9.696517413,10.52863791
4.706467662,-70.53483268,-27.23054107,4,2,1.1,8.12,0.475,10.57541893,0.475,1.000023545,9.706467662,10.57541893
4.71641791,-70.85884645,-27.33241809,4,2,1.1,8.12,0.475,10.62229895,0.475,1.000023545,9.71641791,10.62229895
4.726368159,-71.18402713,-27.434732,4,2,1.1,8.12,0.475,10.66927799,0.475,1.000023545,9.726368159,10.66927799
4.736318408,-71.51037463,-27.53748186,4,2,1.1,8.12,0.475,10.71635603,0.475,1.000023545,9.736318408,10.71635603
4.746268657,-71.83788888,-27.64066672,4,2,1.1,8.12,0.475,10.76353308,0.475,1.000023545,9.746268657,10.76353308
4.756218905,-72.1665698,-27.74428566,4,2,1.1,8.12,0.475,10.81080914,0.475,1.000023545,9.756218905,10.81080914
4.766169154,-72.49641735,-27.84833776,4,2,1.1,8.12,0.475,10.8581842,0.475,1.000023545,9.766169154,10.8581842
4.776119403,-72.82743149,-27.95282212,4,2,1.1,8.12,0.475,10.90565828,0.475,1.000023545,9.776119403,10.90565828
4.786069652,-73.15961218,-28.05773788,4,2,1.1,8.12,0.475,10.95323136,0.475,1.000023545,9.786069652,10.95323136
4.7960199,-73.49295941,-28.16308415,4,2,1.1,8.12,0.475,11.00090344,0.475,1.000023545,9.7960199,11.00090344
4.805970149,-73.82747317,-28.2688601,4,2,1.1,8.12,0.475,11.04867454,0.475,1.000023545,9.805970149,11.04867454
4.815920398,-74.16315348,-28.37506487,4,2,1.1,8.12,0.475,11.09654464,0.475,1.000023545,9.815920398,11.09654464
4.825870647,-74.50000034,-28.48169764,4,2,1.1,8.12,0.475,11.14451375,0.475,1.000023545,9.825870647,11.14451375
4.835820896,-74.83801379,-28.58875761,4,2,1.1,8.12,0.475,11.19258187,0.475,1.000023545,9.835820896,11.19258187
4.845771144,-75.17719387,-28.69624397,4,2,1.1,8.12,0.475,11.24074899,0.475,1.000023545,9.845771144,11.24074899
4.855721393,-75.51754063,-28.80415594,4,2,1.1,8.12,0.475,11.28901512,0.475,1.000023545,9.855721393,11.28901512
4.865671642,-75.85905412,-28.91249275,4,2,1.1,8.12,0.475,11.33738026,0.475,1.000023545,9.865671642,11.33738026
4.875621891,-76.20173443,-29.02125364,4,2,1.1,8.12,0.475,11.38584441,0.475,1.000023545,9.875621891,11.38584441
4.885572139,-76.54558162,-29.13043785,4,2,1.1,8.12,0.475,11.43440756,0.475,1.000023545,9.885572139,11.43440756
4.895522388,-76.8905958,-29.24004467,4,2,1.1,8.12,0.475,11.48306973,0.475,1.000023545,9.895522388,11.48306973
4.905472637,-77.23677706,-29.35007335,4,2,1.1,8.12,0.475,11.5318309,0.475,1.000023545,9.905472637,11.5318309
4.915422886,-77.58412552,-29.46052319,4,2,1.1,8.12,0.475,11.58069107,0.475,1.000023545,9.915422886,11.58069107
4.925373134,-77.93264129,-29.5713935,4,2,1.1,8.12,0.475,11.62965026,0.475,1.000023545,9.925373134,11.62965026
4.935323383,-78.28232452,-29.68268357,4,2,1.1,8.12,0.475,11.67870845,0.475,1.000023545,9.935323383,11.67870845
4.945273632,-78.63317533,-29.79439273,4,2,1.1,8.12,0.475,11.72786565,0.475,1.000023545,9.945273632,11.72786565
4.955223881,-78.98519388,-29.90652033,4,2,1.1,8.12,0.475,11.77712185,0.475,1.000023545,9.955223881,11.77712185
4.965174129,-79.33838033,-30.01906569,4,2,1.1,8.12,0.475,11.82647707,0.475,1.000023545,9.965174129,11.82647707
4.975124378,-79.69273484,-30.13202817,4,2,1.1,8.12,0.475,11.87593129,0.475,1.000023545,9.975124378,11.87593129
4.985074627,-80.04825759,-30.24540714,4,2,1.1,8.12,0.475,11.92548452,0.475,1.000023545,9.985074627,11.92548452
